Date,Description,Amount,Category
9/27/2024,NORTHROP GRUMMAN    DIR DEP      ACH Entry Memo Posted Today,-1914.02,
9/27/2024,ATM Withdrawal   Pri ATM #: TF0322RT14232 LOC: CLINTON,23.0,
9/27/2024,ZEL* Emily WeinsteinJFKXddtH3rPG,1400.0,
9/27/2024,Pre auth             VENMO  *JULIE DIEHL LOC: 8558124430   N,62.0,
9/18/2024,GM Financial,756.76,Auto Payment
9/18/2024,E Payment Discover,56.79,Credit Card Payment
9/16/2024,E Payment Discover,1000.0,Credit Card Payment
9/13/2024,ATM Withdrawal,20.0,Cash
9/13/2024,Transfer to Venmo,3.0,Transfer
9/13/2024,Northrop Grumman,-1914.02,Paycheck
9/6/2024,Transfer to Venmo,20.0,Transfer
9/5/2024,ATM Withdrawal,63.0,Cash
9/4/2024,E Payment Discover,300.0,Credit Card Payment
9/3/2024,GM Financial,756.76,Auto Payment
9/3/2024,E Payment Discover,62.45,Credit Card Payment
9/3/2024,Transfer to Venmo,1000.0,Transfer
9/3/2024,Lowe's,238.36,Home Improvement
9/3/2024,Progressive,73.11,Financial
9/3/2024,Transfer from Venmo,-150.0,Transfer
8/30/2024,Zelle Debit,400.0,Transfer
8/30/2024,Northrop Grumman,-1914.02,Paycheck
8/27/2024,Interest,-0.04,Interest Income
8/22/2024,Transfer to Venmo,6.0,Transfer
8/19/2024,E Payment Discover,1000.0,Credit Card Payment
8/19/2024,Asi Select Insur,211.36,Health Insurance
8/19/2024,Zelle Debit,40.0,Transfer
8/19/2024,Transfer from Venmo,-43.0,Transfer
8/19/2024,Zelle Credit,-50.0,Transfer
8/16/2024,ATM Withdrawal,23.0,Cash
8/16/2024,Northrop Grumman,-1914.01,Paycheck
8/16/2024,Zelle Credit,-15.0,Transfer
8/14/2024,Progressive,-3.62,Financial
8/13/2024,E Payment Discover,300.0,Credit Card Payment
8/13/2024,Zelle Debit,16.34,Transfer
8/12/2024,Progressive,131.0,Financial
8/12/2024,Transfer to Venmo,48.3,Transfer
8/8/2024,Zelle Debit,100.0,Transfer
8/8/2024,Carls Wholesale Furnitur Fu,1542.07,Furnishings
8/8/2024,Zelle Credit,-500.0,Transfer
8/8/2024,Zelle Credit,-110.0,Transfer
8/5/2024,E Payment Discover,500.0,Credit Card Payment
8/2/2024,Northrop Grumman,-1808.23,Paycheck
